Scheme Name,AMC Name,Fund Type,Category,Sub Category,Risk Level,Fund Rating,Return 1Y (%),Return 3Y (%),Return 5Y (%),Expense Ratio (%),NAV (₹),AUM (Cr),Fund Age (Years),Min SIP (₹),Min Lumpsum (₹),Fund Manager,Investment Strategy
Axis Tax Saver ELSS Scheme - Regular Plan - Growth,Axis Mutual Fund,Equity,ELSS,Tax Saver,Moderately High,3,14.27,9.84,,1.14,725.83,1065.79,0.8,5000,500,Sailesh Raj Bhan,Active
SBI Corporate Credit Risk Scheme - Direct Plan - IDCW,SBI Mutual Fund,Debt,Credit Risk,Corporate,Moderately High,3,-0.76,5.34,1.52,1.15,598.87,243.77,17.7,500,10000,Sohini Andani,GARP
Parag Parikh Nifty Next 50 Index Fund Plan - Direct Plan - Growth,Parag Parikh Mutual Fund,Other,Index Fund,Nifty Next 50,Moderately High,5,9.82,,16.94,0.19,770.87,1534.77,2.7,2000,10000,Rohit Singhania,Index
UTI Banking & PSU Medium Duration Fund - Regular Plan - Growth,UTI Mutual Fund,Debt,Medium Duration,Banking & PSU,Moderate,3,9.25,8.88,10.17,0.79,368.0,1117.54,19.0,1000,500,Ashish Kela,Passive
Mirae Asset Banking & PSU Medium Duration Fund - Direct Plan - IDCW,Mirae Asset Mutual Fund,Debt,Medium Duration,Banking & PSU,Moderate,3,1.33,8.6,6.41,0.97,713.09,29281.3,8.7,2500,500,Amit Ganatra,Income
Quant Dynamic Multi Cap Fund - Regular Plan - Growth,Quant Mutual Fund,Equity,Multi Cap,Dynamic,High,4,15.85,18.2,19.04,0.52,779.72,326.21,29.6,2000,10000,Gopal Agrawal,Growth
UTI 10Y Gilt Long Duration Scheme - Regular Plan - IDCW,UTI Mutual Fund,Debt,Long Duration,10Y Gilt,Moderately High,3,4.17,7.22,10.36,0.92,136.79,151.36,28.0,2000,25000,Sailesh Raj Bhan,Active
Tata Equity Arbitrage Arbitrage Fund - Direct Plan - IDCW,Tata Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,1,-3.4,4.18,2.94,0.85,789.92,17106.06,4.9,500,5000,Vinay Sharma,Blend
Axis Banking & PSU Medium Duration Scheme - Direct Plan - IDCW,Axis Mutual Fund,Debt,Medium Duration,Banking & PSU,Moderate,2,14.04,6.52,9.94,0.89,379.2,100.32,2.2,500,5000,Anish Tawakley,Growth
Invesco Balanced Advantage Aggressive Hybrid Plan - Regular Plan - IDCW,Invesco Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,Moderately High,5,27.19,19.19,24.16,1.18,617.04,446.28,28.4,2000,1000,Rajeev Thakkar,Index
HDFC Multi Asset Dynamic Asset Allocation Scheme - Direct Plan - Growth,HDFC Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderately High,3,8.18,8.97,5.26,1.74,488.09,3188.87,18.7,500,1000,Vinay Sharma,Value
Tata Discovery Mid Cap Scheme - Regular Plan - IDCW,Tata Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,4,15.59,12.84,13.04,1.64,419.97,202.97,25.6,500,25000,Mahesh Patil,Income
Bank of India Dynamic Bond Long Duration Fund - Direct Plan - IDCW,Bank of India Mutual Fund,Debt,Long Duration,Dynamic Bond,Moderately High,3,13.4,7.37,6.4,0.42,30.8,2887.26,21.3,5000,500,Chandraprakash Padiyar,Value
Aditya Birla Sun Life Banking Sectoral Plan - Regular Plan - IDCW,Aditya Birla Sun Life Mutual Fund,Equity,Sectoral,Banking,High,2,-0.59,7.18,5.69,1.68,318.66,8543.68,13.4,2500,1000,Gopal Agrawal,Active
Tata Pension Retirement Plan - Direct Plan - Growth,Tata Mutual Fund,Solution Oriented,Retirement,Pension,Moderately High,4,9.7,9.48,12.32,0.84,500.69,85.19,14.0,500,5000,Rajeev Thakkar,Income
JM Financial Nifty Next 50 Index Fund Plan - Direct Plan - IDCW,JM Financial Mutual Fund,Other,Index Fund,Nifty Next 50,Moderate,4,12.16,14.9,16.23,0.2,68.08,1008.96,4.3,100,1000,Rahul Baijal,Index
Bandhan Pharma Sectoral Scheme - Direct Plan - IDCW,Bandhan Mutual Fund,Equity,Sectoral,Pharma,Very High,3,1.99,7.77,9.18,0.86,281.77,998.23,20.2,2500,25000,Nimesh Chandan,Value
Parag Parikh Pharma Sectoral Scheme - Regular Plan - Growth,Parag Parikh Mutual Fund,Equity,Sectoral,Pharma,High,4,1.96,9.31,6.0,1.06,148.19,4594.95,3.1,500,5000,Vinay Sharma,Growth
Sundaram MNC Thematic Scheme - Regular Plan - Growth,Sundaram Mutual Fund,Equity,Thematic,MNC,High,5,12.74,17.44,16.08,1.31,554.79,383.91,26.3,1000,1000,Pranav Gokhale,Active
IDFC Gift Children's Fund Plan - Regular Plan - Growth,IDFC Mutual Fund,Solution Oriented,Children's Fund,Gift,Moderately High,3,4.1,7.67,10.73,1.22,154.14,1511.67,6.7,500,1000,Roshi Jain,GARP
Mirae Asset Diversified Multi Cap Scheme - Regular Plan - IDCW,Mirae Asset Mutual Fund,Equity,Multi Cap,Diversified,Moderately High,5,20.55,18.66,17.35,1.14,600.0,2604.08,15.6,500,10000,Vinay Sharma,Growth
HSBC Overnight Liquid Plan - Regular Plan - IDCW,HSBC Mutual Fund,Debt,Liquid,Overnight,Low,1,2.59,3.43,3.76,0.2,221.24,1749.13,11.6,2000,500,Ajay Tyagi,Blend
Edelweiss Bluechip Large Cap Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Equity,Large Cap,Bluechip,Moderate,3,9.82,14.44,12.71,0.48,713.3,13776.4,23.8,1000,25000,Gopal Agrawal,Active
Edelweiss Gilt Long Duration Plan - Regular Plan - Growth,Edelweiss Mutual Fund,Debt,Long Duration,Gilt,Moderately High,2,5.11,4.52,5.39,0.97,349.87,4115.27,4.3,1000,25000,Rahul Baijal,Active
Kotak Mahindra Dynamic Multi Cap Fund - Regular Plan - IDCW,Kotak Mahindra Mutual Fund,Equity,Multi Cap,Dynamic,Moderate,4,18.32,15.99,16.7,0.97,789.32,134.58,3.5,5000,25000,Taher Badshah,Blend
DSP Discovery Small Cap Scheme - Regular Plan - IDCW,DSP Mutual Fund,Equity,Small Cap,Discovery,Very High,5,9.41,14.84,,0.98,145.31,2551.54,27.0,1000,10000,R. Srinivasan,GARP
Quant Discovery Small Cap Scheme - Regular Plan - Growth,Quant Mutual Fund,Equity,Small Cap,Discovery,Very High,5,24.55,25.98,30.8,0.69,323.1,461.67,5.5,2000,5000,Rohit Singhania,Income
Mirae Asset Gilt Long Duration Fund - Regular Plan - Growth,Mirae Asset Mutual Fund,Debt,Long Duration,Gilt,Moderately High,3,10.49,9.58,10.3,0.55,617.44,3405.29,6.0,1500,1000,Niket Shah,Growth
Axis Value Thematic Fund - Regular Plan - IDCW,Axis Mutual Fund,Equity,Thematic,Value,High,4,16.61,16.49,13.91,0.61,491.61,2858.03,5.1,100,1000,Pranav Gokhale,Blend
Edelweiss Banking & PSU Medium Duration Scheme - Direct Plan - Growth,Edelweiss Mutual Fund,Debt,Medium Duration,Banking & PSU,Moderate,4,-0.04,7.13,5.5,0.39,58.19,90.71,29.7,2500,10000,Mahesh Patil,GARP
PGIM India Discovery Mid Cap Plan - Direct Plan - IDCW,PGIM India Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,5,26.32,30.25,32.07,1.62,479.75,26.91,10.8,500,10000,Rajeev Thakkar,Value
Mirae Asset Pension Retirement Scheme - Regular Plan - Growth,Mirae Asset Mutual Fund,Solution Oriented,Retirement,Pension,Moderately High,4,21.75,14.31,10.55,1.2,751.17,331.84,5.8,1000,5000,Jinesh Gopani,Income
ICICI Prudential Growth Mid Cap Plan - Regular Plan - Growth,ICICI Prudential Mutual Fund,Equity,Mid Cap,Growth,Moderately High,4,29.72,28.53,31.95,0.62,637.85,527.73,5.3,2000,1000,Taher Badshah,Index
PGIM India Equity Arbitrage Arbitrage Scheme - Regular Plan - IDCW,PGIM India Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,4,7.03,6.66,5.25,0.9,318.82,573.16,24.6,500,10000,Rohit Singhania,Index
Nippon India Flexi Cap Multi Cap Scheme - Regular Plan - IDCW,Nippon India Mutual Fund,Equity,Multi Cap,Flexi Cap,Moderately High,4,15.69,16.29,14.3,1.6,406.15,1790.75,11.8,500,5000,Taher Badshah,Passive
DSP Ultra Short Liquid Fund - Regular Plan - Growth,DSP Mutual Fund,Debt,Liquid,Ultra Short,Low,4,8.62,6.63,2.8,0.48,505.14,789.46,10.4,5000,10000,R. Srinivasan,Index
Parag Parikh IT Sectoral Fund - Regular Plan - Growth,Parag Parikh Mutual Fund,Equity,Sectoral,IT,High,4,34.09,32.17,32.5,2.29,632.57,550.57,7.8,500,500,Vinay Sharma,GARP
Mirae Asset Equity Savings Aggressive Hybrid Scheme - Regular Plan - Growth,Mirae Asset Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,Moderately High,3,8.62,7.5,10.12,1.63,278.93,306.5,24.7,500,1000,Sohini Andani,Passive
Mahindra Manulife Micro Cap Small Cap Fund - Regular Plan - IDCW,Mahindra Manulife Mutual Fund,Equity,Small Cap,Micro Cap,Very High,5,32.9,38.86,37.83,1.86,126.73,3413.46,21.7,500,10000,Rajeev Thakkar,Blend
SBI Ultra Short Liquid Scheme - Regular Plan - IDCW,SBI Mutual Fund,Debt,Liquid,Ultra Short,Low,2,6.46,5.78,,0.24,151.83,274.99,27.3,2000,5000,Vinay Sharma,Index
Sundaram Overnight Liquid Scheme - Regular Plan - IDCW,Sundaram Mutual Fund,Debt,Liquid,Overnight,Low,2,3.99,4.6,,0.16,472.29,42985.92,1.0,5000,5000,Prashant Jain,GARP
HDFC Balanced Advantage Aggressive Hybrid Plan - Regular Plan - IDCW,HDFC Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,3,22.02,20.98,22.95,1.69,568.13,1331.19,5.0,2000,1000,Sankaran Naren,Blend
Motilal Oswal Corporate Credit Risk Fund - Regular Plan - Growth,Motilal Oswal Mutual Fund,Debt,Credit Risk,Corporate,Moderately High,3,7.43,8.64,11.0,1.43,741.05,248.54,29.6,500,10000,Rahul Baijal,Index
UTI Equity Arbitrage Arbitrage Fund - Regular Plan - IDCW,UTI Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,3,11.23,4.5,8.2,0.62,476.29,908.07,12.3,1000,25000,Ajay Tyagi,Passive
Bank of India Growth Mid Cap Fund - Direct Plan - Growth,Bank of India Mutual Fund,Equity,Mid Cap,Growth,Moderately High,3,23.23,18.38,13.43,0.93,323.35,3769.72,10.7,500,500,Ashish Kela,Passive
Nippon India Focused Large Cap Plan - Direct Plan - Growth,Nippon India Mutual Fund,Equity,Large Cap,Focused,Moderate,5,21.99,22.75,20.0,0.98,119.56,1224.12,5.7,1000,1000,Shreyash Devalkar,Growth
Mahindra Manulife Corporate Credit Risk Scheme - Regular Plan - Growth,Mahindra Manulife Mutual Fund,Debt,Credit Risk,Corporate,Moderate,2,14.15,7.51,6.13,1.08,508.75,732.65,3.0,100,1000,Neelesh Surana,Income
HDFC Nifty Next 50 Index Fund Plan - Regular Plan - Growth,HDFC Mutual Fund,Other,Index Fund,Nifty Next 50,Moderately High,4,16.56,15.03,10.7,0.4,174.25,208.56,27.0,2500,1000,Kalpen Parekh,GARP
UTI Dynamic Multi Cap Fund - Regular Plan - IDCW,UTI Mutual Fund,Equity,Multi Cap,Dynamic,High,4,4.78,12.2,11.92,1.3,60.04,748.1,16.0,2500,5000,Sankaran Naren,Growth
Axis Dynamic Multi Cap Scheme - Direct Plan - Growth,Axis Mutual Fund,Equity,Multi Cap,Dynamic,High,5,17.77,16.82,13.37,0.69,690.53,10467.07,28.4,2000,1000,Varun Goel,Passive
Parag Parikh Opportunities Mid Cap Fund - Direct Plan - Growth,Parag Parikh Mutual Fund,Equity,Mid Cap,Opportunities,High,3,19.07,16.77,,0.44,131.67,4462.74,1.3,1500,25000,Dhaval Gada,Active
Union Flexi Cap Multi Cap Plan - Regular Plan - IDCW,Union Mutual Fund,Equity,Multi Cap,Flexi Cap,Moderately High,4,15.83,13.08,8.28,0.57,641.53,7385.93,5.8,1000,10000,Atul Kumar,Value
Kotak Mahindra Banking & PSU Medium Duration Scheme - Regular Plan - Growth,Kotak Mahindra Mutual Fund,Debt,Medium Duration,Banking & PSU,Low to Moderate,1,-0.46,5.95,3.38,0.81,685.71,638.14,20.2,500,1000,Niket Shah,Value
Motilal Oswal Tax Saver ELSS Scheme - Direct Plan - IDCW,Motilal Oswal Mutual Fund,Equity,ELSS,Tax Saver,High,4,20.79,,9.58,0.63,172.65,6241.62,1.3,500,10000,Dhaval Gada,Active
Franklin Templeton Tax Advantage ELSS Plan - Regular Plan - Growth,Franklin Templeton Mutual Fund,Equity,ELSS,Tax Advantage,Moderately High,3,19.57,20.83,24.76,1.73,278.72,381.26,17.9,500,10000,Manish Gunwani,Value
Motilal Oswal Dividend Yield Thematic Fund - Direct Plan - IDCW,Motilal Oswal Mutual Fund,Equity,Thematic,Dividend Yield,High,3,20.4,21.85,22.37,1.19,241.22,132.6,28.5,2500,25000,Atul Kumar,Index
Franklin Templeton Balanced Dynamic Asset Allocation Fund - Direct Plan - IDCW,Franklin Templeton Mutual Fund,Hybrid,Dynamic Asset Allocation,Balanced,Moderate,2,13.58,7.68,7.55,1.65,641.49,635.61,8.4,500,10000,R. Srinivasan,Growth
Mirae Asset Dynamic Bond Long Duration Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Debt,Long Duration,Dynamic Bond,Moderately High,3,3.93,7.8,4.19,1.05,787.65,1006.85,16.0,1000,5000,Swarup Mohanty,Value
HDFC Contra Thematic Plan - Regular Plan - Growth,HDFC Mutual Fund,Equity,Thematic,Contra,High,4,4.64,12.35,16.49,0.61,464.6,2023.09,19.7,2000,10000,Mahesh Patil,GARP
IDFC Equity Savings Aggressive Hybrid Fund - Direct Plan - IDCW,IDFC Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,High,3,2.28,10.1,6.47,1.66,700.12,85.3,18.1,5000,10000,Vetri Subramaniam,Index
SBI High Yield Credit Risk Plan - Direct Plan - Growth,SBI Mutual Fund,Debt,Credit Risk,High Yield,Moderately High,3,3.8,8.99,13.13,0.92,311.45,429.56,5.4,500,1000,Shreyash Devalkar,Index
Aditya Birla Sun Life Equity Arbitrage Arbitrage Fund - Regular Plan - Growth,Aditya Birla Sun Life Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,2,5.98,4.33,1.78,0.51,236.65,1140.4,11.0,2500,5000,Kalpen Parekh,Passive
L&T Equity Arbitrage Arbitrage Plan - Direct Plan - IDCW,L&T Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,2,6.25,,,0.73,749.97,302.62,1.4,5000,10000,Harsha Upadhyaya,Active
Aditya Birla Sun Life Index Large Cap Plan - Regular Plan - Growth,Aditya Birla Sun Life Mutual Fund,Equity,Large Cap,Index,Moderately High,5,12.72,19.9,19.86,1.2,272.72,3135.25,23.2,500,10000,Ashish Kela,Income
