Scheme Name,AMC Name,Fund Type,Category,Sub Category,Risk Level,Fund Rating,Return 1Y (%),Return 3Y (%),Return 5Y (%),Expense Ratio (%),NAV (₹),AUM (Cr),Fund Age (Years),Min SIP (₹),Min Lumpsum (₹),Fund Manager,Investment Strategy,Norm_Return_1Y,Norm_Return_3Y,Norm_Return_5Y,Norm_Expense_Ratio,Norm_Fund_Age,Norm_AUM,Score,Rank
Kotak Mahindra Discovery Mid Cap Scheme - Regular Plan - IDCW,Kotak Mahindra Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,5,31.37,32.17,29.12,0.99,335.99,2470.55,23.2,1000,1000,Nimesh Chandan,Active,0.6564195298372514,0.707345971563981,0.6161089961931476,0.3723849372384937,0.7694915254237288,0.009868456974182803,81.02,38
JM Financial Opportunities Mid Cap Scheme - Regular Plan - IDCW,JM Financial Mutual Fund,Equity,Mid Cap,Opportunities,High,5,29.04,31.56,36.03,0.51,393.08,2083.4,18.1,500,25000,Prashant Jain,Passive,0.6142857142857142,0.6928909952606634,0.7545582047685834,0.17154811715481172,0.5966101694915256,0.008319835479316454,80.86,39
JM Financial Growth Mid Cap Plan - Regular Plan - Growth,JM Financial Mutual Fund,Equity,Mid Cap,Growth,Moderately High,4,40.01,33.51,34.18,0.97,309.87,11721.23,13.8,2500,25000,Gopal Agrawal,GARP,0.8126582278481012,0.7390995260663505,0.7174914846724102,0.3640167364016736,0.45084745762711864,0.04687169057906524,80.55,40
Quantum Micro Cap Small Cap Fund - Regular Plan - Growth,Quantum Mutual Fund,Equity,Small Cap,Micro Cap,High,5,38.2,38.66,43.45,1.58,108.0,187.06,20.7,100,25000,Rahul Baijal,Active,0.7799276672694394,0.8611374407582937,0.9032258064516128,0.6192468619246861,0.6847457627118644,0.0007343701930582797,80.49,41
Baroda BNP Paribas Opportunities Mid Cap Fund - Direct Plan - Growth,Baroda BNP Paribas Mutual Fund,Equity,Mid Cap,Opportunities,Moderately High,4,34.33,29.4,32.08,0.58,517.98,1660.55,19.6,100,5000,Chandraprakash Padiyar,Passive,0.7099457504520795,0.6417061611374406,0.6754157483470244,0.20083682008368198,0.6474576271186442,0.006628412002358593,80.42,42
UTI Growth Mid Cap Fund - Regular Plan - IDCW,UTI Mutual Fund,Equity,Mid Cap,Growth,Moderately High,5,28.61,29.35,33.17,0.64,410.61,25581.61,19.6,1500,10000,Harsha Upadhyaya,GARP,0.606509945750452,0.6405213270142179,0.6972550591063914,0.22594142259414224,0.6474576271186442,0.10231398011804405,80.1,43
HSBC Discovery Small Cap Fund - Direct Plan - Growth,HSBC Mutual Fund,Equity,Small Cap,Discovery,High,3,35.44,43.3,48.28,1.65,664.15,3254.01,22.3,2500,500,Nimesh Chandan,Income,0.73001808318264,0.9710900473933647,0.9999999999999999,0.6485355648535565,0.7389830508474577,0.01300234047248576,79.62,44
Mirae Asset Discovery Mid Cap Plan - Direct Plan - IDCW,Mirae Asset Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,5,35.23,31.64,30.68,0.74,289.93,327.34,8.9,1000,1000,Jinesh Gopani,GARP,0.7262206148282097,0.6947867298578199,0.6473652574634341,0.26778242677824265,0.2847457627118644,0.0012954979815119833,79.37,45
Motilal Oswal Discovery Small Cap Plan - Regular Plan - Growth,Motilal Oswal Mutual Fund,Equity,Small Cap,Discovery,High,4,43.15,37.5,28.48,0.95,723.93,2524.79,2.0,2500,5000,Taher Badshah,Blend,0.8694394213381554,0.833649289099526,0.6032859146463634,0.35564853556485354,0.05084745762711865,0.010085419985629401,79.28,46
Invesco Discovery Small Cap Plan - Direct Plan - IDCW,Invesco Mutual Fund,Equity,Small Cap,Discovery,Very High,5,36.9,36.06,37.67,1.05,389.17,309.27,18.7,2000,1000,Ankit Agarwal,Blend,0.7564195298372514,0.7995260663507109,0.7874173512322179,0.39748953974895396,0.6169491525423729,0.0012232169782516581,79.22,47
ICICI Prudential Growth Mid Cap Scheme - Direct Plan - Growth,ICICI Prudential Mutual Fund,Equity,Mid Cap,Growth,Moderately High,5,32.5,31.35,30.9,0.64,364.18,3392.55,8.7,2500,25000,Divam Sharma,Index,0.6768535262206148,0.6879146919431279,0.6517731917451411,0.22594142259414224,0.2779661016949152,0.013556508164333323,79.1,48
Tata MNC Thematic Plan - Direct Plan - Growth,Tata Mutual Fund,Equity,Thematic,MNC,Moderately High,5,30.08,31.18,29.66,0.49,49.79,589.69,7.2,1500,1000,Pranav Gokhale,Blend,0.6330922242314647,0.6838862559241705,0.6269284712482467,0.1631799163179916,0.2271186440677966,0.002344912547386158,79.06,49
SBI Energy Sectoral Scheme - Direct Plan - Growth,SBI Mutual Fund,Equity,Sectoral,Energy,High,5,40.28,33.5,21.7,0.71,717.07,2971.52,1.6,100,500,Taher Badshah,GARP,0.8175406871609403,0.7388625592417061,0.4674413945101181,0.25523012552301255,0.03728813559322035,0.011872364788423264,78.75,50
HSBC Pharma Sectoral Fund - Regular Plan - IDCW,HSBC Mutual Fund,Equity,Sectoral,Pharma,Very High,4,43.96,38.58,40.54,1.32,145.25,537.85,16.7,1000,10000,Sailesh Raj Bhan,Blend,0.8840867992766727,0.8592417061611374,0.8449208575435783,0.5104602510460251,0.5491525423728814,0.002137549669189408,78.55,51
Quant Emerging Small Cap Plan - Direct Plan - IDCW,Quant Mutual Fund,Equity,Small Cap,Emerging,Very High,5,43.14,35.99,31.99,0.76,768.33,80.71,1.6,5000,25000,Chandraprakash Padiyar,Growth,0.869258589511754,0.797867298578199,0.673612502504508,0.27615062761506276,0.03728813559322035,0.00030896428842432333,78.52,52
Franklin Templeton Index Large Cap Fund - Regular Plan - IDCW,Franklin Templeton Mutual Fund,Equity,Large Cap,Index,Moderate,4,21.32,27.43,32.01,0.44,190.98,1193.64,25.6,5000,5000,Nimesh Chandan,Passive,0.4746835443037975,0.5950236966824644,0.674013223802845,0.1422594142259414,0.8508474576271188,0.004760746079155579,77.93,53
DSP Pharma Sectoral Fund - Direct Plan - IDCW,DSP Mutual Fund,Equity,Sectoral,Pharma,Very High,5,32.33,31.04,32.3,0.6,175.14,811.57,19.0,2000,10000,Prashant Jain,Active,0.6737793851717901,0.6805687203791468,0.6798236826287315,0.20920502092050208,0.6271186440677966,0.003232444866334745,77.31,54
HSBC Opportunities Mid Cap Scheme - Regular Plan - Growth,HSBC Mutual Fund,Equity,Mid Cap,Opportunities,High,5,35.96,34.18,36.47,0.95,538.6,3234.03,8.1,1000,5000,Pranav Gokhale,Active,0.7394213381555154,0.7549763033175355,0.7633740733319975,0.35564853556485354,0.2576271186440678,0.012922419363180762,77.29,55
ICICI Prudential MNC Thematic Fund - Regular Plan - IDCW,ICICI Prudential Mutual Fund,Equity,Thematic,MNC,Moderately High,5,21.3,27.64,31.02,0.67,73.68,573.09,27.3,100,500,Manish Gunwani,Index,0.4743218806509946,0.6,0.6541775195351631,0.2384937238493724,0.9084745762711866,0.0022785116257413654,77.15,56
DSP Bluechip Large Cap Plan - Direct Plan - IDCW,DSP Mutual Fund,Equity,Large Cap,Bluechip,Moderately High,5,22.4,26.92,24.49,0.45,487.61,792.64,20.6,5000,10000,Dhaval Gada,GARP,0.4942133815551537,0.5829383886255924,0.5233420156281305,0.14644351464435146,0.68135593220339,0.0031567238153265564,76.85,57
Bank of India Nifty 100 Index Fund Plan - Regular Plan - IDCW,Bank of India Mutual Fund,Other,Index Fund,Nifty 100,Moderately High,5,26.92,21.13,25.02,0.29,528.7,52.59,26.9,500,10000,Vetri Subramaniam,Index,0.5759493670886077,0.44573459715639807,0.5339611300340612,0.07949790794979078,0.8949152542372881,0.0001964827271802533,76.78,58
Bank of India Growth Mid Cap Plan - Regular Plan - Growth,Bank of India Mutual Fund,Equity,Mid Cap,Growth,Moderately High,5,30.18,25.11,27.72,0.82,202.29,784.83,28.4,500,5000,R. Srinivasan,Value,0.6349005424954792,0.5400473933649288,0.5880585053095571,0.30125523012552297,0.9457627118644067,0.0031254833817093383,76.7,59
Invesco Banking Sectoral Plan - Direct Plan - Growth,Invesco Mutual Fund,Equity,Sectoral,Banking,High,4,37.11,32.02,29.92,1.18,749.28,8841.28,23.3,500,1000,Jinesh Gopani,Income,0.7602169981916818,0.7037914691943128,0.6321378481266279,0.4518828451882845,0.7728813559322034,0.035351730682021874,76.36,60
IDFC Growth Mid Cap Scheme - Direct Plan - Growth,IDFC Mutual Fund,Equity,Mid Cap,Growth,High,5,28.4,28.82,28.29,0.41,656.96,517.86,11.1,1500,1000,Gopal Agrawal,Blend,0.6027124773960216,0.6279620853080569,0.5994790623121617,0.12970711297071127,0.3593220338983051,0.0020575885593292036,75.85,61
Axis Infrastructure Sectoral Plan - Direct Plan - Growth,Axis Mutual Fund,Equity,Sectoral,Infrastructure,Very High,4,39.34,32.17,36.08,1.14,329.56,45043.94,24.3,1000,5000,S. Nagnath,Growth,0.8005424954792044,0.707345971563981,0.7555600080144258,0.43514644351464427,0.8067796610169492,0.18016438068160387,75.68,62
Canara Robeco Discovery Small Cap Plan - Regular Plan - IDCW,Canara Robeco Mutual Fund,Equity,Small Cap,Discovery,Very High,3,50.37,42.75,41.51,2.07,439.5,4382.01,19.9,100,500,Anish Tawakley,Blend,0.9999999999999999,0.9580568720379147,0.864355840512923,0.8242677824267781,0.6576271186440678,0.01751440309991503,75.66,63
Franklin Templeton Emerging Small Cap Scheme - Direct Plan - IDCW,Franklin Templeton Mutual Fund,Equity,Small Cap,Emerging,Very High,5,33.4,38.87,34.09,1.83,67.24,1574.38,29.7,100,5000,Sohini Andani,Income,0.693128390596745,0.8661137440758292,0.7156882388298937,0.7238493723849372,0.9898305084745762,0.006283727218133788,75.62,64
HSBC MNC Thematic Plan - Direct Plan - IDCW,HSBC Mutual Fund,Equity,Thematic,MNC,Moderately High,5,19.545,26.91,27.29,0.53,747.75,203.85,23.1,1500,500,Atul Kumar,GARP,0.44258589511754076,0.5827014218009479,0.5794429973953115,0.1799163179916318,0.7661016949152544,0.0008015311252520186,75.6,65
ICICI Prudential Micro Cap Small Cap Plan - Direct Plan - IDCW,ICICI Prudential Mutual Fund,Equity,Small Cap,Micro Cap,High,5,26.06,27.05,30.44,0.77,27.78,250000.0,13.7,500,5000,Nimesh Chandan,Blend,0.5603978300180832,0.5860189573459715,0.64255660188339,0.2803347280334728,0.447457627118644,1.0,75.35,66
Union Infrastructure Sectoral Scheme - Direct Plan - Growth,Union Mutual Fund,Equity,Sectoral,Infrastructure,High,5,27.74,32.76,30.66,0.87,541.97,5569.65,12.8,500,10000,Gopal Agrawal,Income,0.5907775768535262,0.7213270142180094,0.6469645361650971,0.32217573221757323,0.4169491525423729,0.022265029038603053,75.08,67
Invesco Energy Sectoral Fund - Regular Plan - IDCW,Invesco Mutual Fund,Equity,Sectoral,Energy,Very High,3,38.44,35.97,32.49,1.38,495.32,1137.21,29.0,500,5000,Rahul Baijal,Income,0.7842676311030741,0.7973933649289099,0.6836305349629332,0.5355648535564853,0.9661016949152543,0.004535022946118492,75.06,68
DSP Gold Fund of Funds Scheme - Direct Plan - IDCW,DSP Mutual Fund,Other,Fund of Funds,Gold,Moderate,5,24.7,19.3,17.94,0.39,458.5,6201.19,29.9,2500,5000,Chandraprakash Padiyar,Passive,0.5358047016274864,0.4023696682464455,0.39210579042276095,0.12133891213389122,0.9966101694915255,0.024791224102190538,75.05,69
Nippon India Micro Cap Small Cap Fund - Direct Plan - IDCW,Nippon India Mutual Fund,Equity,Small Cap,Micro Cap,Very High,4,37.79,30.17,28.48,0.7,459.75,1284.23,18.9,1500,1000,Prashant Jain,Index,0.7725135623869801,0.659952606635071,0.6032859146463634,0.2510460251046025,0.6237288135593221,0.00512311110878219,75.01,70
Nippon India Tax Saver ELSS Scheme - Regular Plan - IDCW,Nippon India Mutual Fund,Equity,ELSS,Tax Saver,High,4,28.19,28.98,25.28,0.66,520.84,293.32,22.3,2000,5000,Roshi Jain,Income,0.5989150090415913,0.6317535545023696,0.5391705069124423,0.23430962343096234,0.7389830508474577,0.0011594160926953667,74.95,71
Bank of India IT Sectoral Scheme - Direct Plan - Growth,Bank of India Mutual Fund,Equity,Sectoral,IT,High,5,28.24,32.35,34.6,0.64,764.44,492.99,6.2,500,10000,Ankit Agarwal,Value,0.5998191681735985,0.7116113744075829,0.7259066319374874,0.22594142259414224,0.19322033898305085,0.0019581071785276377,74.92,72
Kotak Mahindra Growth Mid Cap Fund - Regular Plan - IDCW,Kotak Mahindra Mutual Fund,Equity,Mid Cap,Growth,Moderately High,5,18.68,26.43,22.07,0.56,339.84,430.99,24.5,5000,5000,Divam Sharma,Blend,0.4269439421338156,0.5713270142180095,0.4748547385293527,0.19246861924686193,0.8135593220338984,0.0017101037362398592,74.88,73
L&T Contra Thematic Fund - Regular Plan - IDCW,L&T Mutual Fund,Equity,Thematic,Contra,Moderately High,5,22.68,24.63,19.71,0.42,372.77,576.82,20.8,1000,10000,Kalpen Parekh,Index,0.49927667269439424,0.5286729857819904,0.427569625325586,0.13389121338912133,0.688135593220339,0.00229343183283384,74.82,74
Bandhan Tax Advantage ELSS Scheme - Direct Plan - IDCW,Bandhan Mutual Fund,Equity,ELSS,Tax Advantage,Moderately High,5,34.25,29.5,28.63,0.73,629.98,995.95,4.1,500,10000,Niket Shah,Growth,0.708499095840868,0.6440758293838862,0.6062913243838909,0.2635983263598326,0.12203389830508472,0.003969975103254433,74.71,75
Tata Growth Mid Cap Plan - Regular Plan - Growth,Tata Mutual Fund,Equity,Mid Cap,Growth,Moderately High,5,30.99,30.32,26.63,1.63,746.5,75848.7,28.4,5000,10000,Taher Badshah,Income,0.6495479204339963,0.6635071090047393,0.5662191945501902,0.6401673640167364,0.9457627118644067,0.3033851309856181,74.61,76
DSP Discovery Mid Cap Plan - Direct Plan - Growth,DSP Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,5,34.42,30.26,30.1,1.26,55.16,9225.87,17.4,2000,5000,Rahul Baijal,Blend,0.7115732368896925,0.662085308056872,0.6357443398116609,0.4853556485355648,0.5728813559322034,0.03689011203475505,74.6,77
UTI Consumption Sectoral Scheme - Direct Plan - IDCW,UTI Mutual Fund,Equity,Sectoral,Consumption,High,5,37.65,34.41,21.7,1.06,236.01,748.77,2.4,500,10000,Anish Tawakley,Passive,0.7699819168173598,0.7604265402843601,0.4674413945101181,0.401673640167364,0.06440677966101695,0.0029812413796303492,74.53,78
Parag Parikh Focused Large Cap Fund - Regular Plan - IDCW,Parag Parikh Mutual Fund,Equity,Large Cap,Focused,Moderate,4,34.98,27.55,24.19,0.75,87.32,3689.99,11.7,2000,1000,Divam Sharma,Growth,0.7216998191681735,0.597867298578199,0.5173311961530755,0.2719665271966527,0.3796610169491525,0.014746284678431337,74.52,79
